name,specialization,experience,rating,location
Dr. Priya Reddy,Orthopedic,14,3.6,Hyderabad
Dr. Sneha Sharma,Gastroenterologist,9,4.1,Jaipur
Dr. Ishaan Sharma,Pediatrician,20,4.2,Bangalore
Dr. Rahul Chopra,Dermatologist,18,4.9,Jaipur
Dr. Meera Malhotra,Orthopedic,21,4.3,Delhi
Dr. Amit Deshmukh,Ophthalmologist,23,4.9,Kolkata
Dr. Sonia Mehra,Pediatrician,15,3.7,Pune
Dr. Meera Bose,Dermatologist,21,4.0,Ahmedabad
Dr. Anjali Bose,General Physician,22,5.0,Hyderabad
Dr. Aryan Kulkarni,Gastroenterologist,19,4.4,Kolkata
Dr. Sneha Malhotra,Cardiologist,22,4.7,Kolkata
Dr. Aryan Patel,Ophthalmologist,22,3.6,Delhi
Dr. Aditi Nair,Dermatologist,13,3.8,Lucknow
Dr. Arjun Rao,Neurologist,5,3.5,Delhi
Dr. Yash Reddy,Psychiatrist,3,4.7,Delhi
Dr. Ishaan Kulkarni,Dermatologist,11,4.1,Bangalore
Dr. Ishaan Singh,Gastroenterologist,5,4.1,Hyderabad
Dr. Sara Malhotra,Dermatologist,11,4.7,Jaipur
Dr. Sneha Singh,Pediatrician,24,4.2,Bangalore
Dr. Anjali Kulkarni,Orthopedic,14,3.5,Ahmedabad
Dr. Aryan Deshmukh,Orthopedic,7,5.0,Ahmedabad
Dr. Anjali Deshmukh,Cardiologist,18,4.9,Jaipur
Dr. Sonia Nair,Pediatrician,9,4.9,Lucknow
Dr. Anjali Mehra,Orthopedic,3,3.6,Delhi
Dr. Rahul Chatterjee,Ophthalmologist,9,3.7,Kolkata
Dr. Amit Sharma,Ophthalmologist,24,3.8,Pune
Dr. Aryan Verma,Orthopedic,3,4.3,Ahmedabad
Dr. Kabir Verma,Neurologist,22,4.1,Hyderabad
Dr. Aryan Gupta,General Physician,14,4.0,Chennai
Dr. Kabir Nair,Psychiatrist,6,3.6,Chennai
Dr. Aryan Chopra,Dermatologist,13,4.1,Delhi
Dr. Kabir Bose,Neurologist,19,4.2,Bangalore
Dr. Sara Patel,Dermatologist,19,4.2,Mumbai
Dr. Kavya Deshmukh,Neurologist,11,4.5,Kolkata
Dr. Meera Chatterjee,Neurologist,21,4.4,Jaipur
Dr. Ishaan Nair,Psychiatrist,5,4.7,Ahmedabad
Dr. Riya Gupta,Neurologist,11,4.9,Mumbai
Dr. Meera Bose,General Physician,4,4.4,Lucknow
Dr. Vivek Bose,Psychiatrist,12,4.5,Lucknow
Dr. Sara Sharma,Ophthalmologist,14,3.6,Lucknow
Dr. Sneha Sharma,Dermatologist,20,3.7,Mumbai
Dr. Amit Kulkarni,Dermatologist,16,3.5,Chennai
Dr. Anjali Chopra,Pediatrician,8,4.2,Kolkata
Dr. Kabir Chatterjee,Gastroenterologist,3,4.7,Mumbai
Dr. Kavya Sharma,Pediatrician,5,4.2,Pune
Dr. Meera Deshmukh,Neurologist,17,3.9,Bangalore
Dr. Aryan Kulkarni,Neurologist,17,5.0,Jaipur
Dr. Ishaan Reddy,General Physician,24,5.0,Hyderabad
Dr. Sneha Nair,Dermatologist,18,4.0,Jaipur
Dr. Riya Khan,Gastroenterologist,8,4.3,Bangalore
Dr. Riya Gupta,General Physician,17,4.1,Jaipur
Dr. Aditi Deshmukh,Cardiologist,22,4.8,Ahmedabad
Dr. Yash Chopra,Dermatologist,4,4.3,Ahmedabad
Dr. Vivek Chatterjee,Pediatrician,23,4.4,Lucknow
Dr. Sonia Bose,Gastroenterologist,22,4.8,Delhi
Dr. Rohan Deshmukh,Ophthalmologist,8,4.8,Chennai
Dr. Sameer Chopra,Ophthalmologist,25,3.7,Pune
Dr. Vivek Gupta,Gastroenterologist,24,4.8,Pune
Dr. Vikram Bose,Cardiologist,6,3.8,Lucknow
Dr. Aditi Malhotra,General Physician,16,4.7,Pune
Dr. Sonia Deshmukh,Ophthalmologist,5,4.9,Kolkata
Dr. Rohan Malhotra,Ophthalmologist,8,4.7,Mumbai
Dr. Arjun Khan,Neurologist,22,4.2,Bangalore
Dr. Priya Chatterjee,Ophthalmologist,19,4.7,Pune
Dr. Rohan Rao,General Physician,6,3.9,Hyderabad
Dr. Sara Joshi,Dermatologist,4,3.6,Mumbai
Dr. Vikram Khan,Ophthalmologist,11,4.1,Delhi
Dr. Meera Malhotra,General Physician,8,4.5,Jaipur
Dr. Sameer Kulkarni,Pediatrician,5,4.8,Lucknow
Dr. Kabir Singh,Neurologist,6,4.9,Chennai
Dr. Kavya Sharma,Orthopedic,16,3.7,Pune
Dr. Aryan Sharma,Ophthalmologist,18,4.2,Kolkata
Dr. Sameer Khan,Neurologist,11,4.4,Lucknow
Dr. Kabir Joshi,Neurologist,12,4.4,Bangalore
Dr. Amit Deshmukh,Orthopedic,25,3.6,Hyderabad
Dr. Sonia Sharma,Gastroenterologist,19,3.9,Ahmedabad
Dr. Amit Bose,Gastroenterologist,7,4.8,Hyderabad
Dr. Meera Singh,General Physician,3,4.0,Mumbai
Dr. Priya Singh,Psychiatrist,11,4.6,Chennai
Dr. Sameer Singh,Dermatologist,11,3.8,Delhi
Dr. Sonia Joshi,Gastroenterologist,7,4.7,Kolkata
Dr. Ishaan Bose,Gastroenterologist,23,3.7,Jaipur
Dr. Sonia Verma,Cardiologist,4,3.9,Bangalore
Dr. Ishaan Chopra,Ophthalmologist,16,4.6,Mumbai
Dr. Sameer Reddy,Gastroenterologist,3,4.5,Kolkata
Dr. Kabir Joshi,Psychiatrist,14,4.3,Hyderabad
Dr. Rahul Chatterjee,Neurologist,24,3.9,Ahmedabad
Dr. Sonia Sharma,Gastroenterologist,19,5.0,Ahmedabad
Dr. Rohan Patel,Dermatologist,11,4.7,Pune
Dr. Sonia Sharma,Ophthalmologist,19,4.0,Ahmedabad
Dr. Kavya Mehra,Ophthalmologist,3,3.9,Kolkata
Dr. Vivek Kulkarni,Psychiatrist,21,4.4,Bangalore
Dr. Yash Malhotra,Ophthalmologist,23,4.6,Jaipur
Dr. Amit Patel,Dermatologist,15,3.7,Mumbai
Dr. Priya Mehra,Cardiologist,17,4.3,Bangalore
Dr. Sara Reddy,Orthopedic,9,3.8,Chennai
Dr. Ishaan Sharma,General Physician,25,4.1,Mumbai
Dr. Rahul Joshi,Psychiatrist,12,3.7,Kolkata
Dr. Sneha Deshmukh,Cardiologist,22,4.1,Pune
Dr. Aditi Kulkarni,Orthopedic,14,4.1,Delhi
Dr. Sameer Khan,Cardiologist,14,3.9,Ahmedabad
Dr. Kabir Kulkarni,Psychiatrist,20,4.8,Bangalore
Dr. Sara Patel,Ophthalmologist,15,3.7,Ahmedabad
Dr. Arjun Patel,Cardiologist,24,4.4,Bangalore
Dr. Rohan Mehra,Ophthalmologist,25,3.7,Lucknow
Dr. Priya Chopra,Dermatologist,5,3.9,Ahmedabad
Dr. Rahul Deshmukh,Dermatologist,9,4.1,Kolkata
Dr. Yash Singh,Neurologist,10,3.8,Mumbai
Dr. Riya Chatterjee,Dermatologist,11,3.6,Ahmedabad
Dr. Sneha Verma,Orthopedic,15,3.9,Bangalore
Dr. Sneha Patel,Dermatologist,10,4.4,Delhi
Dr. Sara Mehra,Ophthalmologist,8,3.6,Mumbai
Dr. Amit Chopra,Ophthalmologist,25,5.0,Chennai
Dr. Arjun Sharma,Neurologist,7,5.0,Mumbai
Dr. Yash Chatterjee,Neurologist,15,3.7,Mumbai
Dr. Ishaan Chatterjee,General Physician,17,4.7,Bangalore
Dr. Kavya Deshmukh,Pediatrician,8,4.4,Hyderabad
Dr. Vikram Gupta,Pediatrician,16,4.0,Pune
Dr. Meera Reddy,Ophthalmologist,17,4.7,Delhi
Dr. Rahul Bose,Ophthalmologist,4,3.9,Ahmedabad
Dr. Riya Joshi,General Physician,17,4.2,Chennai
Dr. Riya Sharma,Psychiatrist,16,4.3,Jaipur
Dr. Rahul Khan,General Physician,19,3.9,Chennai
Dr. Sara Sharma,Pediatrician,19,4.8,Delhi
Dr. Priya Khan,Dermatologist,3,4.9,Jaipur
Dr. Ishaan Mehra,Pediatrician,13,3.9,Pune
Dr. Yash Chopra,Dermatologist,10,4.1,Delhi
Dr. Yash Bose,Psychiatrist,16,4.7,Lucknow
Dr. Vikram Kulkarni,Neurologist,25,4.6,Delhi
Dr. Kabir Singh,General Physician,3,3.8,Delhi
Dr. Ishaan Gupta,Gastroenterologist,17,4.5,Ahmedabad
Dr. Vivek Verma,Ophthalmologist,19,3.8,Chennai
Dr. Priya Chopra,Gastroenterologist,8,4.6,Pune
Dr. Sneha Nair,Pediatrician,12,4.1,Bangalore
Dr. Anjali Kulkarni,Cardiologist,9,3.6,Lucknow
Dr. Vivek Malhotra,Psychiatrist,12,3.7,Ahmedabad
Dr. Rahul Singh,Psychiatrist,12,3.9,Chennai
Dr. Priya Chopra,Pediatrician,15,4.7,Bangalore
Dr. Aditi Rao,Psychiatrist,5,4.6,Lucknow
Dr. Sonia Rao,Psychiatrist,20,4.3,Mumbai
Dr. Rahul Sharma,Cardiologist,6,5.0,Hyderabad
Dr. Kavya Joshi,Orthopedic,12,4.2,Delhi
Dr. Sameer Chatterjee,Pediatrician,7,4.4,Kolkata
Dr. Amit Chopra,Dermatologist,9,4.7,Chennai
Dr. Yash Reddy,Cardiologist,13,4.8,Lucknow
Dr. Sneha Rao,Neurologist,7,4.9,Delhi
Dr. Vikram Chopra,Pediatrician,17,4.3,Delhi
Dr. Sonia Sharma,Psychiatrist,23,3.5,Kolkata
Dr. Rohan Sharma,Orthopedic,7,4.5,Lucknow
Dr. Rahul Singh,Cardiologist,14,4.1,Kolkata
Dr. Sonia Rao,Neurologist,4,4.6,Jaipur
Dr. Sameer Deshmukh,General Physician,24,4.2,Jaipur
Dr. Vivek Gupta,Cardiologist,13,4.8,Hyderabad
Dr. Anjali Sharma,Dermatologist,4,3.7,Kolkata
Dr. Sameer Chatterjee,Dermatologist,25,3.9,Kolkata
Dr. Kabir Singh,Orthopedic,15,4.3,Mumbai
Dr. Priya Reddy,Neurologist,6,4.7,Kolkata
Dr. Yash Rao,Psychiatrist,10,4.9,Pune
Dr. Kavya Sharma,General Physician,22,4.0,Bangalore
Dr. Rohan Verma,Gastroenterologist,9,4.0,Delhi
Dr. Yash Bose,Dermatologist,3,4.2,Bangalore
Dr. Vikram Nair,Neurologist,23,3.6,Ahmedabad
Dr. Sonia Chatterjee,Orthopedic,14,4.5,Mumbai
Dr. Sara Reddy,Dermatologist,15,4.3,Delhi
Dr. Vivek Sharma,Gastroenterologist,22,4.1,Pune
Dr. Amit Deshmukh,Pediatrician,15,4.0,Delhi
Dr. Yash Joshi,Dermatologist,9,4.5,Delhi
Dr. Yash Reddy,Gastroenterologist,15,3.7,Bangalore
Dr. Rohan Joshi,Gastroenterologist,10,3.5,Chennai
Dr. Rohan Nair,Orthopedic,23,4.4,Delhi
Dr. Sonia Malhotra,Pediatrician,22,3.9,Hyderabad
Dr. Kabir Nair,Psychiatrist,11,3.6,Chennai
Dr. Sneha Deshmukh,Orthopedic,9,4.6,Hyderabad
Dr. Sonia Chatterjee,Neurologist,19,4.6,Delhi
Dr. Aryan Verma,Ophthalmologist,3,3.9,Bangalore
Dr. Sara Khan,Neurologist,4,4.9,Ahmedabad
Dr. Aryan Singh,Orthopedic,20,4.1,Jaipur
Dr. Amit Patel,Orthopedic,10,4.4,Delhi
Dr. Vikram Sharma,Dermatologist,14,4.4,Ahmedabad
Dr. Kabir Chopra,Cardiologist,23,3.5,Lucknow
Dr. Rohan Joshi,Orthopedic,24,4.2,Mumbai
Dr. Sonia Gupta,Cardiologist,11,3.7,Bangalore
Dr. Priya Sharma,Orthopedic,13,4.2,Kolkata
Dr. Sonia Singh,Pediatrician,19,3.9,Lucknow
Dr. Yash Deshmukh,Orthopedic,18,3.7,Bangalore
Dr. Ishaan Chopra,General Physician,24,3.7,Chennai
Dr. Vikram Patel,General Physician,8,4.1,Delhi
Dr. Sonia Patel,Dermatologist,22,4.7,Kolkata
Dr. Riya Verma,Cardiologist,11,3.5,Ahmedabad
Dr. Aditi Khan,General Physician,12,4.2,Kolkata
Dr. Aryan Khan,Pediatrician,15,3.9,Delhi
Dr. Anjali Chopra,Ophthalmologist,13,4.2,Ahmedabad
Dr. Arjun Patel,General Physician,20,4.6,Ahmedabad
Dr. Yash Sharma,General Physician,12,3.5,Jaipur
Dr. Kabir Reddy,Gastroenterologist,8,4.8,Lucknow
Dr. Sameer Bose,Pediatrician,3,3.7,Kolkata
Dr. Sameer Reddy,General Physician,25,4.0,Jaipur
Dr. Rahul Patel,Pediatrician,3,4.5,Jaipur
Dr. Riya Chatterjee,Orthopedic,3,3.6,Ahmedabad
Dr. Meera Joshi,Pediatrician,24,4.5,Mumbai
Dr. Anjali Malhotra,Psychiatrist,24,4.2,Delhi
Dr. Riya Nair,Psychiatrist,23,4.4,Pune
Dr. Sameer Mehra,Neurologist,13,3.6,Mumbai
Dr. Arjun Deshmukh,Neurologist,9,4.1,Lucknow
Dr. Sara Reddy,Orthopedic,13,3.9,Ahmedabad
Dr. Arjun Sharma,Cardiologist,8,4.4,Mumbai
Dr. Sameer Sharma,Gastroenterologist,9,4.5,Pune
Dr. Sneha Malhotra,Neurologist,4,4.6,Bangalore
Dr. Kabir Malhotra,Ophthalmologist,4,3.8,Hyderabad
Dr. Meera Nair,Ophthalmologist,8,4.7,Ahmedabad
Dr. Arjun Khan,Dermatologist,9,4.6,Chennai
Dr. Kabir Patel,General Physician,9,4.1,Bangalore
Dr. Meera Joshi,Cardiologist,7,4.5,Bangalore
Dr. Aryan Patel,Pediatrician,10,4.7,Jaipur
Dr. Sonia Sharma,Dermatologist,13,4.7,Kolkata
Dr. Ishaan Singh,Ophthalmologist,3,4.6,Mumbai
Dr. Aditi Rao,Orthopedic,7,3.6,Hyderabad
Dr. Sonia Khan,General Physician,7,5.0,Bangalore
Dr. Aryan Bose,Gastroenterologist,10,4.1,Ahmedabad
Dr. Rohan Bose,General Physician,25,4.1,Kolkata
Dr. Aditi Patel,Gastroenterologist,19,3.8,Bangalore
Dr. Ishaan Chopra,Dermatologist,19,4.7,Pune
Dr. Amit Gupta,General Physician,15,3.7,Chennai
Dr. Arjun Joshi,Orthopedic,23,4.8,Hyderabad
Dr. Priya Singh,General Physician,11,5.0,Lucknow
Dr. Aditi Singh,General Physician,16,3.7,Pune
Dr. Vikram Chatterjee,Dermatologist,6,4.3,Chennai
Dr. Priya Rao,Gastroenterologist,23,3.6,Bangalore
Dr. Priya Kulkarni,Pediatrician,15,4.7,Mumbai
Dr. Priya Nair,Orthopedic,24,4.3,Delhi
Dr. Anjali Kulkarni,Ophthalmologist,3,3.9,Jaipur
Dr. Yash Sharma,Psychiatrist,17,4.0,Ahmedabad
Dr. Vikram Kulkarni,Pediatrician,23,4.1,Mumbai
Dr. Priya Reddy,Neurologist,16,4.8,Lucknow
Dr. Amit Malhotra,Gastroenterologist,25,4.5,Bangalore
Dr. Aryan Rao,Psychiatrist,8,4.3,Pune
Dr. Aryan Joshi,Orthopedic,18,3.8,Lucknow
Dr. Amit Deshmukh,Psychiatrist,21,4.3,Chennai
Dr. Vikram Sharma,Psychiatrist,9,3.7,Bangalore
Dr. Riya Sharma,Cardiologist,3,3.8,Bangalore
Dr. Sara Malhotra,Dermatologist,6,5.0,Chennai
Dr. Meera Kulkarni,General Physician,20,3.7,Pune
Dr. Yash Khan,Ophthalmologist,21,3.7,Pune
Dr. Riya Reddy,Ophthalmologist,17,4.6,Delhi
Dr. Sameer Singh,Dermatologist,19,4.9,Delhi
Dr. Rohan Sharma,Orthopedic,18,4.0,Jaipur
Dr. Rohan Chopra,Cardiologist,8,4.1,Chennai
Dr. Sneha Sharma,Gastroenterologist,8,4.4,Jaipur
Dr. Arjun Joshi,Ophthalmologist,21,4.3,Lucknow
Dr. Yash Verma,Neurologist,21,4.5,Mumbai
Dr. Aryan Chatterjee,Psychiatrist,7,3.6,Pune
Dr. Aryan Nair,Orthopedic,3,4.6,Mumbai
Dr. Anjali Patel,Neurologist,3,4.0,Lucknow
Dr. Aryan Gupta,Ophthalmologist,16,4.7,Pune
Dr. Sonia Malhotra,Neurologist,25,5.0,Kolkata
Dr. Meera Gupta,Psychiatrist,3,3.6,Hyderabad
Dr. Arjun Rao,Neurologist,20,3.7,Bangalore
Dr. Anjali Malhotra,Orthopedic,22,4.7,Jaipur
Dr. Arjun Singh,Gastroenterologist,9,3.9,Hyderabad
Dr. Sonia Verma,Psychiatrist,15,4.0,Lucknow
Dr. Anjali Joshi,Orthopedic,17,3.6,Pune
Dr. Kavya Malhotra,Psychiatrist,3,4.0,Mumbai
Dr. Vikram Kulkarni,Cardiologist,17,4.5,Ahmedabad
Dr. Kabir Khan,Orthopedic,19,3.6,Delhi
Dr. Rohan Sharma,Neurologist,14,3.9,Kolkata
Dr. Sonia Singh,Gastroenterologist,25,4.0,Lucknow
Dr. Ishaan Mehra,Ophthalmologist,22,4.1,Jaipur
Dr. Rahul Malhotra,Gastroenterologist,4,3.6,Jaipur
Dr. Arjun Sharma,General Physician,7,4.5,Jaipur
Dr. Aryan Singh,Ophthalmologist,14,3.9,Ahmedabad
Dr. Aryan Nair,Neurologist,3,4.7,Jaipur
Dr. Sara Sharma,Cardiologist,22,3.9,Mumbai
Dr. Sara Nair,Orthopedic,14,3.7,Pune
Dr. Aditi Khan,General Physician,10,3.5,Delhi
Dr. Sneha Chopra,Neurologist,16,3.9,Lucknow
Dr. Sonia Sharma,Pediatrician,17,3.6,Mumbai
Dr. Anjali Khan,General Physician,9,4.5,Kolkata
Dr. Anjali Malhotra,Orthopedic,21,3.7,Lucknow
Dr. Kabir Chatterjee,Psychiatrist,6,4.9,Mumbai
Dr. Amit Deshmukh,General Physician,23,4.7,Mumbai
Dr. Aditi Chopra,Orthopedic,5,4.4,Delhi
Dr. Sameer Deshmukh,Psychiatrist,22,4.0,Pune
Dr. Sameer Chopra,General Physician,16,3.7,Hyderabad
Dr. Meera Deshmukh,Psychiatrist,4,3.8,Hyderabad
Dr. Meera Gupta,General Physician,16,3.7,Chennai
Dr. Arjun Malhotra,Gastroenterologist,13,4.1,Mumbai
Dr. Anjali Nair,Neurologist,5,4.4,Mumbai
Dr. Aryan Chopra,Dermatologist,20,5.0,Bangalore
Dr. Sara Rao,Gastroenterologist,14,3.7,Kolkata
Dr. Aryan Khan,Orthopedic,8,4.6,Kolkata
Dr. Kabir Gupta,Psychiatrist,24,4.0,Kolkata
Dr. Aditi Kulkarni,Ophthalmologist,21,3.6,Mumbai
Dr. Aditi Sharma,Orthopedic,12,3.6,Bangalore
Dr. Yash Deshmukh,Dermatologist,25,3.7,Lucknow
Dr. Vikram Patel,Neurologist,15,4.6,Chennai
Dr. Sonia Kulkarni,Pediatrician,18,4.3,Lucknow
Dr. Aryan Gupta,General Physician,17,4.1,Lucknow
Dr. Aditi Chatterjee,Neurologist,12,4.5,Hyderabad
Dr. Rohan Rao,Pediatrician,4,4.8,Mumbai
Dr. Ishaan Malhotra,Ophthalmologist,22,4.4,Pune
Dr. Rohan Patel,Dermatologist,21,4.9,Kolkata
Dr. Aryan Khan,Orthopedic,12,4.1,Jaipur
Dr. Amit Bose,General Physician,19,4.7,Hyderabad
Dr. Aditi Verma,Dermatologist,19,4.9,Bangalore
Dr. Sameer Mehra,Dermatologist,19,3.5,Pune
Dr. Vikram Verma,Psychiatrist,12,3.7,Lucknow
Dr. Arjun Chopra,Dermatologist,7,4.9,Lucknow
Dr. Priya Nair,Ophthalmologist,21,4.6,Hyderabad
Dr. Yash Khan,Dermatologist,7,4.6,Ahmedabad
Dr. Amit Malhotra,Ophthalmologist,8,4.2,Bangalore
Dr. Sneha Chopra,Psychiatrist,22,4.4,Delhi
Dr. Anjali Verma,General Physician,16,4.0,Chennai
Dr. Kavya Mehra,Neurologist,18,4.2,Delhi
Dr. Aditi Deshmukh,Neurologist,22,5.0,Hyderabad
Dr. Aditi Chopra,Cardiologist,4,4.9,Mumbai
Dr. Sameer Sharma,Pediatrician,19,4.1,Hyderabad
Dr. Rohan Patel,Pediatrician,14,3.9,Chennai
Dr. Meera Sharma,Psychiatrist,8,3.7,Bangalore
Dr. Kavya Joshi,Ophthalmologist,22,4.7,Bangalore
Dr. Meera Singh,Pediatrician,11,3.9,Pune
Dr. Anjali Chopra,Psychiatrist,9,4.2,Pune
Dr. Yash Singh,Orthopedic,16,4.9,Bangalore
Dr. Amit Rao,Gastroenterologist,17,4.9,Bangalore
Dr. Arjun Verma,Gastroenterologist,17,4.0,Chennai
Dr. Rohan Gupta,Neurologist,13,3.7,Jaipur
Dr. Anjali Chopra,Ophthalmologist,6,4.7,Hyderabad
Dr. Aryan Nair,Orthopedic,13,4.8,Ahmedabad
Dr. Sara Nair,General Physician,5,3.7,Hyderabad
Dr. Amit Malhotra,Neurologist,12,3.6,Hyderabad
Dr. Kavya Chopra,Ophthalmologist,23,3.5,Ahmedabad
Dr. Rohan Sharma,General Physician,16,4.1,Jaipur
Dr. Anjali Mehra,Gastroenterologist,15,3.9,Chennai
Dr. Kabir Joshi,Neurologist,9,4.0,Mumbai
Dr. Kabir Chopra,Psychiatrist,20,3.7,Chennai
Dr. Rohan Reddy,Gastroenterologist,11,3.6,Lucknow
Dr. Sneha Deshmukh,Dermatologist,6,3.7,Delhi
Dr. Sneha Sharma,General Physician,3,4.0,Kolkata
Dr. Yash Joshi,Neurologist,12,3.9,Chennai
Dr. Kabir Deshmukh,Dermatologist,3,4.9,Hyderabad
Dr. Riya Kulkarni,Orthopedic,25,4.1,Chennai
Dr. Sonia Chatterjee,Pediatrician,6,4.3,Bangalore
Dr. Amit Khan,Orthopedic,3,4.3,Bangalore
Dr. Sneha Mehra,Ophthalmologist,21,3.7,Bangalore
Dr. Arjun Sharma,Neurologist,3,4.4,Ahmedabad
Dr. Rahul Nair,Neurologist,18,4.6,Chennai
Dr. Amit Reddy,Dermatologist,5,3.6,Pune
Dr. Sonia Singh,Pediatrician,20,4.9,Mumbai
Dr. Kabir Chopra,Cardiologist,12,4.3,Chennai
Dr. Sameer Chatterjee,Cardiologist,8,3.9,Chennai
Dr. Vikram Joshi,Gastroenterologist,13,3.9,Delhi
Dr. Arjun Mehra,Cardiologist,21,4.7,Pune
Dr. Yash Gupta,General Physician,24,4.9,Mumbai
Dr. Rohan Gupta,Gastroenterologist,18,4.3,Ahmedabad
